PassengerId,Survived
1026,0.10056143
1027,0.14823508
1028,0.12038149
1029,0.1703751
1030,0.5176246
1031,0.018521106
1032,0.10359304
1033,0.6088015
1034,0.08947722
1035,0.19381492
1036,0.32690236
1037,0.068571515
1038,0.5976076
1039,0.12969588
1040,0.253552
1041,0.6225778
1042,0.90252686
1043,0.11965853
1044,0.079672396
1045,0.7399598
1046,0.016371215
1047,0.1246858
1048,0.7863426
1049,0.58401686
1050,0.39647
1051,0.73811233
1052,0.5019649
1053,0.55954343
1054,0.59484345
1055,0.11965853
1056,0.661921
1057,0.7131704
1058,0.20957652
1059,0.06549187
1060,0.9155086
1061,0.589036
1062,0.11965853
1063,0.11965853
1064,0.115972914
1065,0.11965853
1066,0.034337007
1067,0.66865695
1068,0.62432206
1069,0.31152344
1070,0.9181981
1071,0.8704876
1072,0.1865808
1073,0.5144955
1074,0.9322616
1075,0.11965853
1076,0.91126966
1077,0.1542704
1078,0.7120185
1079,0.08201523
1080,0.037442762
1081,0.13691561
1082,0.15767635
1083,0.253552
1084,0.32294333
1085,0.09399511
1086,0.68290645
1087,0.15215565
1088,0.9310951
1089,0.61648804
1090,0.2158261
1091,0.7974678
1092,0.5019649
1093,0.92484814
1094,0.79833436
1095,0.7558929
1096,0.20594868
1097,0.253552
1098,0.46630174
1099,0.26248416
1100,0.7285323
1101,0.12278946
1102,0.12881489
1103,0.11965853
1104,0.27869081
1105,0.71781874
1106,0.1956147
1107,0.23966585
1108,0.56550723
1109,0.109049834
1110,0.86911494
1111,0.13928902
1112,0.6495647
1113,0.1638803
1114,0.91376376
1115,0.1638803
1116,0.7936423
1117,0.78695995
1118,0.152339
1119,0.5019649
1120,0.11383127
1121,0.19938591
1122,0.370005
1123,0.68058383
1124,0.12045611
1125,0.11965853
1126,0.36788386
1127,0.1723043
1128,0.2651278
1129,0.13771139
1130,0.52311647
1131,0.8916002
1132,0.7815853
1133,0.5859275
1134,0.3837267
1135,0.11965853
1136,0.029312802
1137,0.42005712
1138,0.8768563
1139,0.11195855
1140,0.8400661
1141,0.7804136
1142,0.90249074
1143,0.23029697
1144,0.44627237
1145,0.14823508
1146,0.11281383
1147,0.13928902
1148,0.11965853
1149,0.11829418
1150,0.69629437
1151,0.1638803
1152,0.11834597
1153,0.1638803
1154,0.8543889
1155,0.89333427
1156,0.22724071
1157,0.11965853
1158,0.30947432
1159,0.13928902
1160,0.56550723
1161,0.16296826
1162,0.3043058
1163,0.11965853
1164,0.9136381
1165,0.42959398
1166,0.13928902
1167,0.7367835
1168,0.19381492
1169,0.1367998
1170,0.16438289
1171,0.22177772
1172,0.5176246
1173,0.8195876
1174,0.5019649
1175,0.6743238
1176,0.887029
1177,0.10875829
1178,0.17182437
1179,0.38888243
1180,0.49766064
1181,0.11965853
1182,0.30947432
1183,0.61978906
1184,0.11965853
1185,0.55235624
1186,0.10875829
1187,0.121139206
1188,0.8663882
1189,0.08198009
1190,0.23749454
1191,0.117008455
1192,0.12881489
1193,0.41098395
1194,0.11231831
1195,0.1246858
1196,0.56550723
1197,0.8168708
1198,0.35888577
1199,0.90420973
1200,0.1750759
1201,0.7892916
1202,0.19857676
1203,0.12969588
1204,0.11965853
1205,0.4562621
1206,0.8742736
1207,0.5502181
1208,0.21387161
1209,0.24782221
1210,0.13928902
1211,0.13896891
1212,0.14188273
1213,0.51629364
1214,0.5611706
1215,0.2223472
1216,0.5642038
1217,0.12693645
1218,0.86096865
1219,0.23654751
1220,0.16606948
1221,0.18731412
1222,0.8498575
1223,0.24213679
1224,0.11965853
1225,0.779814
1226,0.11965853
1227,0.43101528
1228,0.2175569
1229,0.061180066
1230,0.17317228
1231,0.04747284
1232,0.2612681
1233,0.12881489
1234,0.009196659
1235,0.8734926
1236,0.037697304
1237,0.6400983
1238,0.20165549
1239,0.8055493
1240,0.1761628
1241,0.5669901
1242,0.89794743
1243,0.20594868
1244,0.20627521
1245,0.07280031
1246,0.9213583
1247,0.3911116
1248,0.8853342
1249,0.11965853
1250,0.11965853
1251,0.816853
1252,0.0035112177
1253,0.79377586
1254,0.884391
1255,0.11965853
1256,0.9247527
1257,0.26301014
1258,0.10076613
1259,0.6595435
1260,0.7991531
1261,0.23230347
1262,0.15735975
1263,0.87131375
1264,0.23365276
1265,0.14257988
1266,0.7400502
1267,0.577482
1268,0.33118358
1269,0.2287813
1270,0.24432299
1271,0.104117714
1272,0.11965853
1273,0.121139206
1274,0.75108445
1275,0.7403177
1276,0.19763568
1277,0.44882613
1278,0.18707973
1279,0.101408735
1280,0.13318351
1281,0.18084648
1282,0.4202817
1283,0.9030467
1284,0.23632815
1285,0.1215776
1286,0.055348802
1287,0.92333794
1288,0.1246858
1289,0.8514081
1290,0.1574177
1291,0.13072234
1292,0.78226244
1293,0.13917722
1294,0.69377834
1295,0.33832753
1296,0.40534756
1297,0.754442
1298,0.17768285
1299,0.2395909
1300,0.56550723
1301,0.8172214
1302,0.5019649
1303,0.91800034
1304,0.5608496
1305,0.11965853
1306,0.9177675
1307,0.11722933
1308,0.11965853
1309,0.03295544
